symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed
MCX__PYR1,SELL,2414.734,2414.3,2385.7,10,0.75,CLOSED,ORB Break SELL [PYR1],11:29,4.34,False,0.75,MCX,1,,,,-218.04999999999984,1
BAJAJFINSV,SELL,1696.2,1696.2,1670.8,10,0.75,CLOSED,ORB Break SELL,11:29,0.0,False,0.75,,,,,1696.2,-218.04999999999984,1
MCX__PYR2,SELL,2407.468,2425.5,2385.7,10,0.0,CLOSED,ORB Break SELL [PYR2],11:30,-145.32,False,0.75,MCX,2,,,,-218.04999999999984,1
ASIANPAINT,SELL,2237.7,2237.7,2204.1,10,0.75,CLOSED,ORB Break SELL,11:30,0.0,False,0.75,,,,,2237.7,-218.04999999999984,1
INFY__PYR1,SELL,1271.3744,1280.9,1256.1,10,0.0,CLOSED,ORB Break SELL [PYR1],11:32,-38.26,False,0.75,INFY,1,,,,-218.04999999999984,1
LICI__PYR1,SELL,764.699,770.45,755.5,10,0.0,CLOSED,ORB Break SELL [PYR1],11:32,-23.01,False,0.75,LICI,1,,,,-218.04999999999984,1
ICICIPRULI__PYR1,SELL,527.0018,530.95,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],11:34,-26.48,True,0.75,ICICIPRULI,1,,,,-218.04999999999984,1
INDIGO__PYR4,SELL,4117.568,4148.4,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR4],11:36,-202.32,True,0.75,INDIGO,4,,,,-218.04999999999984,1
ICICIGI__PYR2,SELL,1741.6868,1754.7,1725.9,10,0.0,CLOSED,ORB Break SELL [PYR2],11:40,-105.13,False,0.75,ICICIGI,2,,,,-218.04999999999984,1
SRF,SELL,2517.0,2517.0,2479.2,10,0.75,CLOSED,ORB Break SELL,11:42,0.0,False,0.75,,,,,2517.0,-218.04999999999984,1
