[2026-03-25 08:46:28] ENGINE STARTED | MODE: PAPER
[2026-03-25 09:18:00] PAPER SELL TECHM Entry:1400.2 SL:1415.9 TSL-Only

[2026-03-25 09:18:00] PAPER SELL MPHASIS Entry:2128.1 SL:2147.5 TSL-Only

[2026-03-25 09:18:59] PYRAMID Leg1 MPHASIS SELL Entry:2117.46 SL:2133.30 TSL-Only
[2026-03-25 09:20:06] F5 FROZEN GODREJCP O:1016.60 H:1026.90 L:1006.50 C:1026.10 Range:2.01%
[2026-03-25 09:20:06] F5 FROZEN IRCTC O:517.00 H:525.90 L:516.05 C:522.40 Range:1.91%
[2026-03-25 09:20:06] F5 FROZEN HEROMOTOCO O:5305.00 H:5340.00 L:5278.50 C:5335.00 Range:1.16%
[2026-03-25 09:20:06] F5 FROZEN ICICIGI O:1744.60 H:1746.30 L:1736.00 C:1746.30 Range:0.59%
[2026-03-25 09:20:06] F5 FROZEN GAIL O:139.60 H:140.32 L:139.20 C:139.76 Range:0.80%
[2026-03-25 09:20:06] F5 FROZEN NATIONALUM O:359.75 H:362.95 L:358.45 C:362.25 Range:1.25%
[2026-03-25 09:20:06] F5 FROZEN INDHOTEL O:611.80 H:617.90 L:609.70 C:615.20 Range:1.34%
[2026-03-25 09:20:06] F5 FROZEN PETRONET O:247.05 H:247.30 L:244.55 C:245.95 Range:1.11%
[2026-03-25 09:20:06] F5 FROZEN PAGEIND O:32295.00 H:32590.00 L:32180.00 C:32560.00 Range:1.27%
[2026-03-25 09:20:06] F5 FROZEN PNB O:108.34 H:108.90 L:108.30 C:108.74 Range:0.55%
[2026-03-25 09:20:06] F5 FROZEN JSWENERGY O:490.00 H:495.25 L:489.05 C:493.40 Range:1.27%
[2026-03-25 09:20:07] F5 FROZEN PIDILITIND O:1352.20 H:1365.60 L:1350.00 C:1365.00 Range:1.15%
[2026-03-25 09:20:07] F5 FROZEN NYKAA O:240.00 H:243.75 L:240.00 C:243.70 Range:1.56%
[2026-03-25 09:20:07] F5 FROZEN KEI O:4220.00 H:4247.50 L:4186.50 C:4245.00 Range:1.45%
[2026-03-25 09:20:07] F5 FROZEN LICHSGFIN O:483.85 H:491.85 L:483.05 C:491.55 Range:1.82%
[2026-03-25 09:20:07] F5 FROZEN MARUTI O:12540.00 H:12640.00 L:12506.00 C:12632.00 Range:1.07%
[2026-03-25 09:20:07] F5 FROZEN NUVAMA O:1156.00 H:1160.50 L:1149.90 C:1158.20 Range:0.92%
[2026-03-25 09:20:07] F5 FROZEN NBCC O:82.67 H:84.00 L:82.58 C:83.78 Range:1.72%
[2026-03-25 09:20:07] F5 FROZEN BOSCHLTD O:30230.00 H:30635.00 L:30180.00 C:30600.00 Range:1.51%
[2026-03-25 09:20:07] F5 FROZEN NESTLEIND O:1180.00 H:1195.60 L:1180.00 C:1194.30 Range:1.32%
[2026-03-25 09:20:08] F5 FROZEN MANAPPURAM O:259.20 H:260.55 L:257.55 C:260.45 Range:1.16%
[2026-03-25 09:20:08] F5 FROZEN DALBHARAT O:1810.80 H:1838.70 L:1801.10 C:1838.70 Range:2.08%
[2026-03-25 09:20:08] F5 FROZEN HDFCLIFE O:605.95 H:610.70 L:605.65 C:610.70 Range:0.83%
[2026-03-25 09:38:36] PYRAMID Leg2 MPHASIS SELL Entry:2106.82 SL:2122.60 TSL-Only
[2026-03-25 09:53:49] MPHASIS__PYR1 SL HIT SELL Entry:2117.4595 Exit:2116.8 NetPnL:6.59
[2026-03-25 09:57:55] ENGINE STARTED | MODE: PAPER
[2026-03-25 10:00:03] MPHASIS__PYR2 SL HIT SELL Entry:2106.819 Exit:2122.6 NetPnL:-157.81
[2026-03-25 10:01:26] TECHM SL HIT SELL Entry:1400.2 Exit:1415.9 NetPnL:-157.00
